aerial_battles,big_chance_created,clearance,club_name,cross,cross_accuracy,goal_conceded_per_match,goal_per_match,interceptions,pass_accuracy,pass_per_game,shooting_accuracy,shot_on_target,tackle_success
"2,168",49,727,Manchester United,604,21%,0.77,1.93,370,83%,511.90,36%,148,65%
"2,689",54,"1,118",Manchester United,908,22%,0.97,1.63,679,85%,560.82,35%,180,74%
"2,477",89,"1,319",Manchester United,962,22%,1.13,2.26,515,86%,518.05,38%,213,77%
"2,151",85,"1,165",Manchester United,"1,018",22%,0.87,2.34,574,85%,531.16,38%,243,75%
"2,353",71,"1,053",Manchester United,"1,005",24%,0.97,2.05,646,81%,496.58,34%,212,76%
