aerial_battles,big_chance_created,clearance,club_name,cross,cross_accuracy,goal_conceded_per_match,goal_per_match,interceptions,pass_accuracy,pass_per_game,shooting_accuracy,shot_on_target,tackle_success
"2,682",48,839,Chelsea,688,19%,0.87,2.24,510,84%,529.61,35%,204,71%
"3,075",66,"1,027",Chelsea,682,22%,0.84,1.92,376,83%,533.37,37%,210,81%
"3,055",50,"1,141",Chelsea,809,25%,0.71,1.87,380,83%,480.68,33%,229,77%
"2,469",56,981,Chelsea,863,20%,1.03,1.97,504,83%,484.87,34%,212,76%
"2,551",86,762,Chelsea,995,25%,0.87,1.82,616,84%,506.21,33%,244,74%
