aerial_battles,big_chance_created,clearance,club_name,cross,cross_accuracy,goal_conceded_per_match,goal_per_match,interceptions,pass_accuracy,pass_per_game,shooting_accuracy,shot_on_target,tackle_success
"1,978",79,470,Manchester City,542,21%,0.67,2.83,271,89%,737.00,42%,218,67%
"2,730",77,905,Manchester City,801,24%,1.03,2.11,504,86%,597.53,34%,216,71%
"2,751",55,940,Manchester City,866,24%,1.08,1.87,630,83%,539.16,34%,210,73%
"2,681",66,872,Manchester City,795,23%,1.00,2.18,569,85%,581.76,34%,229,75%
"2,562",86,938,Manchester City,892,25%,0.97,2.68,496,86%,546.34,35%,238,77%
"2,533",84,"1,068",Manchester City,860,24%,0.89,1.74,492,85%,527.92,35%,231,80%
"2,080",86,930,Manchester City,843,22%,0.76,2.45,631,86%,549.03,34%,250,74%
"2,519",52,"1,206",Manchester City,762,20%,0.87,1.58,629,82%,467.58,32%,177,75%
