aerial_battles,big_chance_created,clearance,club_name,cross,cross_accuracy,goal_conceded_per_match,goal_per_match,interceptions,pass_accuracy,pass_per_game,shooting_accuracy,shot_on_target,tackle_success
"2,785",88,849,Arsenal,754,25%,0.95,1.71,734,84%,559.18,37%,211,73%
"3,242",66,"1,006",Arsenal,866,20%,0.95,1.87,762,84%,540.18,37%,227,75%
"2,777",62,"1,207",Arsenal,753,22%,1.08,1.79,541,86%,567.39,41%,213,74%
"2,840",70,873,Arsenal,951,19%,0.97,1.89,636,86%,555.53,34%,205,79%
"2,336",97,766,Arsenal,896,22%,1.29,1.95,605,85%,542.08,37%,236,74%
"2,636",99,"1,077",Arsenal,928,19%,1.13,1.89,709,84%,530.26,36%,238,74%
