aerial_battles,big_chance_created,clearance,club_name,cross,cross_accuracy,goal_conceded_per_match,goal_per_match,interceptions,pass_accuracy,pass_per_game,shooting_accuracy,shot_on_target,tackle_success
"2,102",64,643,Tottenham Hotspur,675,20%,0.83,1.97,290,84%,576.03,34%,176,63%
"2,696",53,"1,003",Tottenham Hotspur,761,20%,0.68,2.26,314,82%,530.26,38%,257,75%
"2,619",64,"1,046",Tottenham Hotspur,738,21%,0.92,1.82,645,80%,490.76,38%,252,77%
"2,286",71,"1,045",Tottenham Hotspur,846,25%,1.08,1.74,716,85%,514.84,33%,230,74%
